"subaward_primary_place_of_performance_state_name","n","long","lat","group","order","subregion"
"massachusetts",286,-70.04981995,41.32744598,22,6189,"nantucket"
"massachusetts",286,-70.03263092,41.35036469,22,6190,"nantucket"
"massachusetts",286,-70.04981995,41.37328339,22,6191,"nantucket"
"massachusetts",286,-70.04409027,41.38474274,22,6192,"nantucket"
"massachusetts",286,-70.02690125,41.38474274,22,6193,"nantucket"
"massachusetts",286,-70.01544189,41.37328339,22,6194,"nantucket"
"massachusetts",286,-69.99253082,41.34463501,22,6195,"nantucket"
"massachusetts",286,-69.98679352,41.31598663,22,6196,"nantucket"
"massachusetts",286,-69.98679352,41.31025696,22,6197,"nantucket"
"massachusetts",286,-69.96960449,41.28733826,22,6198,"nantucket"
"massachusetts",286,-69.9524231,41.27587891,22,6199,"nantucket"
"massachusetts",286,-69.9524231,41.25868988,22,6200,"nantucket"
"massachusetts",286,-69.97533417,41.25296402,22,6201,"nantucket"
"massachusetts",286,-70.02117157,41.24150085,22,6202,"nantucket"
"massachusetts",286,-70.04981995,41.24150085,22,6203,"nantucket"
"massachusetts",286,-70.09565735,41.25296402,22,6204,"nantucket"
"massachusetts",286,-70.1529541,41.25868988,22,6205,"nantucket"
"massachusetts",286,-70.18160248,41.25868988,22,6206,"nantucket"
"massachusetts",286,-70.21024323,41.27587891,22,6207,"nantucket"
"massachusetts",286,-70.21024323,41.28160858,22,6208,"nantucket"
"massachusetts",286,-70.18160248,41.28733826,22,6209,"nantucket"
"massachusetts",286,-70.1529541,41.29306793,22,6210,"nantucket"
"massachusetts",286,-70.1300354,41.29306793,22,6211,"nantucket"
"massachusetts",286,-70.08992767,41.27587891,22,6212,"nantucket"
"massachusetts",286,-70.0612793,41.27587891,22,6213,"nantucket"
"michigan",830,-90.41273499,46.55855179,23,6215,"north"
"michigan",830,-90.37836456,46.56427765,23,6216,"north"
"michigan",830,-90.31533813,46.59292603,23,6217,"north"
"michigan",830,-90.28096008,46.61584473,23,6218,"north"
"michigan",830,-90.20075226,46.63303375,23,6219,"north"
"michigan",830,-90.1377182,46.64449692,23,6220,"north"
"michigan",830,-90.0746994,46.65595245,23,6221,"north"
"michigan",830,-90.02313232,46.67887115,23,6222,"north"
"michigan",830,-89.95437622,46.71324921,23,6223,"north"
"michigan",830,-89.90280914,46.74189758,23,6224,"north"
"michigan",830,-89.87416077,46.76481628,23,6225,"north"
"michigan",830,-89.83978271,46.79346085,23,6226,"north"
"michigan",830,-89.78821564,46.82211304,23,6227,"north"
"michigan",830,-89.73664856,46.82784271,23,6228,"north"
"michigan",830,-89.67362213,46.83356857,23,6229,"north"
"michigan",830,-89.61060333,46.82784271,23,6230,"north"
"michigan",830,-89.57049561,46.82784271,23,6231,"north"
"michigan",830,-89.51892853,46.85076141,23,6232,"north"
"michigan",830,-89.47309113,46.85076141,23,6233,"north"
"michigan",830,-89.42725372,46.84503174,23,6234,"north"
"michigan",830,-89.387146,46.85076141,23,6235,"north"
"michigan",830,-89.32984924,46.86221695,23,6236,"north"
"michigan",830,-89.24390411,46.896595,23,6237,"north"
"michigan",830,-89.20380402,46.9195137,23,6238,"north"
"michigan",830,-89.17514801,46.95962143,23,6239,"north"
"michigan",830,-89.15222931,46.97680664,23,6240,"north"
"michigan",830,-89.12358856,46.98254013,23,6241,"north"
"michigan",830,-89.08348083,46.98254013,23,6242,"north"
"michigan",830,-89.03191376,46.99972534,23,6243,"north"
"michigan",830,-88.98607635,46.99972534,23,6244,"north"
"michigan",830,-88.93450928,47.01118851,23,6245,"north"
"michigan",830,-88.9287796,47.01691437,23,6246,"north"
"michigan",830,-88.91159058,47.04556274,23,6247,"north"
"michigan",830,-88.90013123,47.08567047,23,6248,"north"
"michigan",830,-88.8600235,47.09713364,23,6249,"north"
"michigan",830,-88.82564545,47.10858917,23,6250,"north"
"michigan",830,-88.80273438,47.14296722,23,6251,"north"
"michigan",830,-88.76262665,47.15442657,23,6252,"north"
"michigan",830,-88.73397064,47.15442657,23,6253,"north"
"michigan",830,-88.69386292,47.1945343,23,6254,"north"
"michigan",830,-88.64802551,47.22317886,23,6255,"north"
"michigan",830,-88.62511444,47.217453,23,6256,"north"
"michigan",830,-88.57354736,47.22317886,23,6257,"north"
"michigan",830,-88.54489899,47.23464203,23,6258,"north"
"michigan",830,-88.51052094,47.25756073,23,6259,"north"
"michigan",830,-88.48187256,47.29193497,23,6260,"north"
"michigan",830,-88.43030548,47.34923172,23,6261,"north"
"michigan",830,-88.39020538,47.3778801,23,6262,"north"
"michigan",830,-88.34436798,47.39506912,23,6263,"north"
"michigan",830,-88.26987457,47.41225815,23,6264,"north"
